order_id,date,region,category,product,sales_rep,units,unit_price,revenue,returned
ORD-00115,2024-03-10,North,Electronics,Laptop,Chen,7,1107.14,7749.98,False
ORD-00327,2024-03-10,West,Electronics,Laptop,Chen,3,1162.49,3487.47,False
ORD-00171,2024-03-10,North,Furniture,Desk,Chen,7,433.3,3033.1,False
ORD-00096,2024-03-11,East,Apparel,T-Shirt,Dubois,11,24.62,270.82,False
ORD-00385,2024-03-11,West,Electronics,Laptop,Brennan,1,1226.65,1226.65,False
ORD-00345,2024-03-11,North,Electronics,Headphones,Novak,8,194.35,1554.8,False
ORD-00145,2024-03-12,North,Furniture,Bookshelf,Chen,8,150.46,1203.68,False
ORD-00186,2024-03-12,South,Electronics,Monitor,Dubois,5,316.76,1583.8,False
ORD-00028,2024-03-14,North,Grocery,Olive Oil,Novak,4,21.78,87.12,False
ORD-00183,2024-03-14,West,Grocery,Olive Oil,Dubois,10,23.08,230.8,False
ORD-00230,2024-03-14,South,Grocery,Granola,Dubois,4,9.41,37.64,False
ORD-00336,2024-03-14,North,Electronics,Headphones,Dubois,10,177.01,1770.1,True
ORD-00237,2024-03-15,North,Apparel,Sneakers,Ibrahim,4,90.09,360.36,False
ORD-00323,2024-03-15,West,Apparel,T-Shirt,Novak,9,27.22,244.98,False
ORD-00340,2024-03-15,South,Electronics,Headphones,Brennan,3,179.44,538.32,False
ORD-00231,2024-03-16,South,Furniture,Chair,Alvarez,10,241.56,2415.6,True
ORD-00361,2024-03-17,West,Electronics,Laptop,Novak,3,1195.81,3587.43,False
ORD-00113,2024-03-17,East,Electronics,Laptop,Dubois,2,1094.45,2188.9,False
ORD-00009,2024-03-17,South,Apparel,Jacket,Chen,1,135.14,135.14,True
ORD-00051,2024-03-18,West,Furniture,Chair,Alvarez,7,243.86,1707.02,False
ORD-00337,2024-03-18,North,Apparel,Jacket,Chen,1,132.66,132.66,False
ORD-00021,2024-03-18,North,Electronics,Headphones,Chen,2,198.0,396.0,False
ORD-00175,2024-03-19,South,Electronics,Laptop,Novak,6,1180.09,7080.54,False
ORD-00397,2024-03-19,South,Apparel,Jacket,Ibrahim,6,124.24,745.44,False
ORD-00354,2024-03-20,West,Furniture,Chair,Dubois,5,259.7,1298.5,False
ORD-00278,2024-03-20,East,Apparel,T-Shirt,Chen,6,26.55,159.3,False
ORD-00211,2024-03-21,West,Furniture,Bookshelf,Dubois,9,126.87,1141.83,False
ORD-00289,2024-03-21,North,Apparel,Sneakers,Dubois,6,97.87,587.22,False
ORD-00157,2024-03-22,South,Furniture,Chair,Alvarez,2,234.0,468.0,False
ORD-00351,2024-03-22,South,Electronics,Laptop,Alvarez,6,1221.83,7330.98,False
ORD-00016,2024-03-22,East,Apparel,T-Shirt,Alvarez,3,24.26,72.78,False
ORD-00114,2024-03-22,South,Grocery,Olive Oil,Chen,11,19.8,217.8,False
ORD-00302,2024-03-23,East,Electronics,Headphones,Novak,9,166.21,1495.89,False
ORD-00131,2024-03-23,South,Grocery,Granola,Chen,10,8.46,84.6,False
ORD-00178,2024-03-23,West,Grocery,Granola,Novak,10,9.9,99.0,False
ORD-00078,2024-03-23,North,Grocery,Olive Oil,Ibrahim,6,21.3,127.8,False
ORD-00394,2024-03-24,South,Apparel,Jacket,Chen,7,123.91,867.37,False
ORD-00213,2024-03-24,North,Electronics,Monitor,Ibrahim,10,337.22,3372.2,False
ORD-00320,2024-03-25,South,Apparel,Jacket,Alvarez,1,134.21,134.21,False
ORD-00130,2024-03-25,West,Furniture,Bookshelf,Novak,11,144.74,1592.14,False
ORD-00264,2024-03-26,East,Electronics,Laptop,Chen,8,1168.83,9350.64,False
ORD-00176,2024-03-26,West,Furniture,Chair,Dubois,9,244.05,2196.45,False
ORD-00110,2024-03-26,North,Furniture,Chair,Novak,4,273.17,1092.68,False
ORD-00150,2024-03-27,East,Grocery,Olive Oil,Ibrahim,6,20.78,124.68,False
ORD-00364,2024-03-27,North,Furniture,Bookshelf,Brennan,9,130.66,1175.94,False
ORD-00277,2024-03-27,South,Electronics,Monitor,Novak,8,340.39,2723.12,False
ORD-00297,2024-03-28,North,Grocery,Coffee,Brennan,5,19.06,95.3,False
ORD-00301,2024-03-28,West,Apparel,Sneakers,Ibrahim,7,93.24,652.68,True
ORD-00107,2024-03-29,North,Apparel,Sneakers,Dubois,9,101.73,915.57,False
ORD-00163,2024-03-29,North,Grocery,Olive Oil,Novak,5,22.89,114.45,False
ORD-00272,2024-03-29,West,Electronics,Laptop,Ibrahim,11,1101.59,12117.49,False
ORD-00263,2024-03-30,West,Electronics,Headphones,Chen,3,162.0,486.0,False
ORD-00216,2024-03-30,North,Furniture,Chair,Ibrahim,11,251.43,2765.73,False
ORD-00307,2024-03-30,North,Furniture,Bookshelf,Brennan,10,147.85,1478.5,False
ORD-00091,2024-03-30,North,Electronics,Monitor,Alvarez,11,315.34,3468.74,True
ORD-00391,2024-03-30,North,Apparel,Sneakers,Chen,1,100.61,100.61,True
ORD-00349,2024-03-31,North,Electronics,Headphones,Alvarez,3,183.49,550.47,False
ORD-00309,2024-03-31,East,Electronics,Headphones,Dubois,7,183.81,1286.67,False
ORD-00265,2024-03-31,South,Electronics,Headphones,Chen,4,175.64,702.56,False
ORD-00065,2024-04-01,South,Furniture,Bookshelf,Ibrahim,9,132.12,1189.08,False
ORD-00306,2024-04-02,West,Furniture,Desk,Alvarez,5,455.58,2277.9,False
ORD-00119,2024-04-02,North,Furniture,Bookshelf,Brennan,1,140.84,140.84,True
ORD-00142,2024-04-02,South,Apparel,Jacket,Dubois,1,138.21,138.21,False
ORD-00055,2024-04-03,West,Furniture,Chair,Ibrahim,2,264.82,529.64,False
ORD-00058,2024-04-03,West,Furniture,Bookshelf,Novak,2,143.46,286.92,False
ORD-00164,2024-04-04,North,Electronics,Laptop,Alvarez,6,1152.3,6913.8,False
ORD-00143,2024-04-05,West,Furniture,Bookshelf,Chen,1,141.13,141.13,False
ORD-00197,2024-04-05,West,Electronics,Headphones,Alvarez,4,166.85,667.4,False
ORD-00274,2024-04-05,South,Grocery,Coffee,Dubois,6,18.39,110.34,False
ORD-00007,2024-04-06,West,Electronics,Laptop,Ibrahim,7,1164.69,8152.83,False
ORD-00219,2024-04-07,South,Electronics,Headphones,Brennan,10,168.49,1684.9,False
ORD-00259,2024-04-07,East,Apparel,T-Shirt,Chen,6,25.26,151.56,False
ORD-00343,2024-04-07,East,Apparel,T-Shirt,Chen,7,24.08,168.56,False
ORD-00236,2024-04-08,West,Electronics,Monitor,Brennan,10,352.0,3520.0,False
ORD-00226,2024-04-09,North,Electronics,Laptop,Alvarez,11,1116.73,12284.03,False
ORD-00299,2024-04-09,West,Apparel,Jacket,Novak,3,128.08,384.24,False
ORD-00062,2024-04-10,East,Apparel,T-Shirt,Chen,11,25.5,280.5,False
ORD-00011,2024-04-10,West,Furniture,Desk,Novak,9,431.44,3882.96,False
ORD-00141,2024-04-10,South,Apparel,T-Shirt,Dubois,6,25.51,153.06,False
ORD-00210,2024-04-10,West,Electronics,Monitor,Ibrahim,4,333.63,1334.52,False
ORD-00240,2024-04-11,North,Grocery,Olive Oil,Chen,3,23.86,71.58,False
ORD-00017,2024-04-11,South,Grocery,Coffee,Brennan,11,18.42,202.62,False
ORD-00396,2024-04-12,East,Electronics,Monitor,Ibrahim,7,347.24,2430.68,False
ORD-00167,2024-04-12,South,Apparel,Sneakers,Dubois,3,98.95,296.85,False
ORD-00101,2024-04-12,North,Grocery,Coffee,Brennan,9,18.31,164.79,False
ORD-00392,2024-04-13,South,Grocery,Olive Oil,Brennan,10,23.61,236.1,False
ORD-00202,2024-04-13,West,Apparel,Sneakers,Brennan,8,100.79,806.32,False
ORD-00192,2024-04-13,North,Apparel,Jacket,Novak,9,130.58,1175.22,False
ORD-00061,2024-04-14,South,Apparel,T-Shirt,Brennan,1,27.5,27.5,False
ORD-00195,2024-04-14,West,Electronics,Laptop,Brennan,11,1320.0,14520.0,False
ORD-00140,2024-04-14,South,Grocery,Granola,Dubois,6,9.56,57.36,False
ORD-00196,2024-04-15,West,Apparel,Jacket,Ibrahim,4,133.79,535.16,False
ORD-00223,2024-04-15,South,Apparel,T-Shirt,Alvarez,3,24.54,73.62,False
ORD-00075,2024-04-16,South,Electronics,Laptop,Alvarez,7,1162.31,8136.17,False
ORD-00324,2024-04-16,East,Grocery,Coffee,Brennan,4,18.29,73.16,False
ORD-00275,2024-04-16,North,Furniture,Desk,Brennan,2,423.98,847.96,False
ORD-00214,2024-04-16,North,Apparel,Sneakers,Alvarez,9,97.6,878.4,False
ORD-00206,2024-04-17,South,Electronics,Monitor,Brennan,2,305.49,610.98,False
ORD-00283,2024-04-17,West,Electronics,Laptop,Dubois,8,1222.29,9778.32,False
ORD-00156,2024-04-18,North,Grocery,Olive Oil,Chen,8,22.37,178.96,False
ORD-00117,2024-04-19,West,Grocery,Coffee,Ibrahim,7,17.65,123.55,False
ORD-00303,2024-04-19,North,Apparel,Jacket,Dubois,3,124.43,373.29,False
ORD-00356,2024-04-19,South,Electronics,Headphones,Novak,6,170.47,1022.82,False
ORD-00253,2024-04-19,East,Electronics,Laptop,Dubois,7,1252.89,8770.23,False
ORD-00123,2024-04-20,South,Apparel,Jacket,Novak,10,124.85,1248.5,False
ORD-00247,2024-04-20,North,Electronics,Laptop,Alvarez,10,1320.0,13200.0,False
ORD-00072,2024-04-20,North,Furniture,Desk,Alvarez,9,455.19,4096.71,False
ORD-00201,2024-04-21,West,Grocery,Granola,Ibrahim,6,8.58,51.48,True
ORD-00388,2024-04-21,South,Apparel,Sneakers,Ibrahim,3,98.4,295.2,False
ORD-00319,2024-04-21,West,Electronics,Headphones,Alvarez,10,186.47,1864.7,False
ORD-00220,2024-04-22,North,Apparel,Jacket,Dubois,1,117.0,117.0,False
ORD-00137,2024-04-23,West,Grocery,Granola,Chen,9,8.74,78.66,False
ORD-00076,2024-04-24,North,Grocery,Olive Oil,Dubois,4,24.2,96.8,False
ORD-00086,2024-04-25,North,Apparel,Jacket,Chen,11,132.16,1453.76,False
ORD-00198,2024-04-27,North,Furniture,Chair,Dubois,6,265.79,1594.74,False
ORD-00304,2024-04-30,East,Apparel,Sneakers,Chen,6,93.19,559.14,False
ORD-00245,2024-05-02,East,Electronics,Monitor,Brennan,7,305.35,2137.45,False
ORD-00400,2024-05-03,North,Apparel,Sneakers,Alvarez,10,92.16,921.6,False
ORD-00024,2024-05-03,East,Electronics,Headphones,Alvarez,8,188.13,1505.04,False
ORD-00359,2024-05-04,East,Electronics,Monitor,Ibrahim,7,352.0,2464.0,False
ORD-00238,2024-05-04,South,Electronics,Laptop,Ibrahim,4,1217.81,4871.24,False
ORD-00203,2024-05-04,East,Apparel,Jacket,Ibrahim,4,131.09,524.36,False
ORD-00040,2024-05-04,East,Electronics,Laptop,Alvarez,6,1183.44,7100.64,False
ORD-00370,2024-05-06,South,Electronics,Laptop,Novak,5,1150.72,5753.6,False
ORD-00279,2024-05-06,South,Apparel,Sneakers,Alvarez,3,103.89,311.67,False
ORD-00235,2024-05-06,North,Electronics,Laptop,Chen,4,1089.38,4357.52,False
ORD-00261,2024-05-07,East,Electronics,Laptop,Dubois,10,1129.61,11296.1,False
ORD-00094,2024-05-07,South,Furniture,Bookshelf,Dubois,2,136.75,273.5,True
ORD-00050,2024-05-07,North,Grocery,Coffee,Dubois,8,17.08,136.64,False
ORD-00377,2024-05-08,North,Electronics,Headphones,Brennan,3,175.48,526.44,False
ORD-00079,2024-05-08,North,Apparel,T-Shirt,Ibrahim,9,24.16,217.44,True
ORD-00127,2024-05-08,East,Electronics,Laptop,Brennan,8,1127.56,9020.48,False
ORD-00257,2024-05-08,South,Electronics,Headphones,Alvarez,6,173.81,1042.86,False
ORD-00362,2024-05-09,South,Furniture,Bookshelf,Dubois,11,147.76,1625.36,False
ORD-00102,2024-05-09,East,Apparel,Sneakers,Novak,5,95.83,479.15,False
ORD-00083,2024-05-10,North,Apparel,Jacket,Novak,2,143.0,286.0,False
ORD-00049,2024-05-10,East,Furniture,Bookshelf,Brennan,4,126.0,504.0,False
ORD-00092,2024-05-11,West,Grocery,Olive Oil,Ibrahim,11,19.8,217.8,False
ORD-00251,2024-05-11,North,Furniture,Bookshelf,Brennan,11,143.04,1573.44,False
ORD-00023,2024-05-11,East,Apparel,T-Shirt,Dubois,6,24.45,146.7,False
ORD-00001,2024-05-12,West,Apparel,T-Shirt,Ibrahim,2,25.08,50.16,False
ORD-00228,2024-05-13,South,Apparel,T-Shirt,Dubois,7,25.55,178.85,True
ORD-00325,2024-05-13,West,Grocery,Coffee,Chen,11,19.1,210.1,False
ORD-00106,2024-05-13,South,Furniture,Bookshelf,Dubois,2,139.51,279.02,False
ORD-00348,2024-05-13,East,Grocery,Granola,Brennan,10,9.9,99.0,False
ORD-00134,2024-05-14,South,Electronics,Monitor,Ibrahim,3,328.64,985.92,False
ORD-00088,2024-05-14,North,Furniture,Bookshelf,Alvarez,4,127.87,511.48,False
ORD-00398,2024-05-14,West,Electronics,Monitor,Brennan,3,297.33,891.99,False
ORD-00276,2024-05-15,West,Apparel,Jacket,Ibrahim,8,130.5,1044.0,True
ORD-00069,2024-05-16,North,Grocery,Coffee,Brennan,8,17.77,142.16,False
ORD-00185,2024-05-16,West,Grocery,Coffee,Ibrahim,6,17.06,102.36,False
ORD-00286,2024-05-16,South,Electronics,Headphones,Chen,3,192.91,578.73,False
ORD-00204,2024-05-16,South,Electronics,Monitor,Ibrahim,8,298.83,2390.64,True
ORD-00179,2024-05-16,North,Apparel,Jacket,Novak,1,124.51,124.51,False
ORD-00084,2024-05-17,South,Electronics,Laptop,Alvarez,4,1215.39,4861.56,False
ORD-00338,2024-05-17,South,Electronics,Headphones,Chen,6,170.34,1022.04,False
ORD-00047,2024-05-17,East,Electronics,Monitor,Ibrahim,5,324.37,1621.85,True
ORD-00004,2024-05-17,South,Electronics,Monitor,Ibrahim,3,352.0,1056.0,False
ORD-00169,2024-05-17,North,Furniture,Chair,Ibrahim,6,272.6,1635.6,False
ORD-00332,2024-05-17,South,Furniture,Bookshelf,Ibrahim,10,139.99,1399.9,False
ORD-00285,2024-05-18,North,Apparel,Sneakers,Alvarez,8,95.06,760.48,False
ORD-00168,2024-05-18,South,Apparel,T-Shirt,Brennan,2,24.64,49.28,False
ORD-00045,2024-05-18,South,Apparel,Jacket,Ibrahim,6,126.92,761.52,False
ORD-00205,2024-05-19,North,Apparel,Sneakers,Brennan,10,92.84,928.4,False
ORD-00070,2024-05-19,North,Electronics,Monitor,Brennan,6,341.84,2051.04,False
ORD-00233,2024-05-20,East,Grocery,Coffee,Brennan,11,18.73,206.03,False
ORD-00333,2024-05-20,East,Apparel,Sneakers,Dubois,9,101.35,912.15,False
ORD-00215,2024-05-21,North,Apparel,Sneakers,Novak,11,100.87,1109.57,False
ORD-00199,2024-05-22,West,Grocery,Coffee,Chen,6,19.49,116.94,False
ORD-00294,2024-05-22,West,Apparel,Jacket,Brennan,4,126.01,504.04,False
